election,state,APC,PDP
2019,Abia,85058,219698
2019,Adamawa,378078,410266
2019,Akwa Ibom,175429,395832
2019,Anambra,33298,524738
2019,Bauchi,798428,209313
2019,Bayelsa,118821,197933
2019,Benue,347668,356817
2019,Borno,836496,71788
2019,Cross River,117302,295737
2019,Delta,221292,594068
2019,Ebonyi,90726,258573
2019,Edo,267842,275691
2019,Ekiti,219231,154032
2019,Enugu,54423,355553
2019,FCT,152224,259997
2019,Gombe,402961,138484
2019,Imo,140463,334923
2019,Jigawa,794738,289895
2019,Kaduna,993445,649612
2019,Kano,1464768,391593
2019,Katsina,1232133,308056
2019,Kebbi,581552,154282
2019,Kogi,285894,218207
2019,Kwara,308984,138184
2019,Lagos,580825,448015
2019,Nasarawa,289903,283847
2019,Niger,612371,218052
2019,Ogun,281762,194655
2019,Ondo,241769,275901
2019,Osun,347634,337377
2019,Oyo,365229,366690
2019,Plateau,468555,548665
2019,Rivers,150710,473971
2019,Sokoto,490333,361604
2019,Taraba,324906,374743
2019,Yobe,497914,50763
2019,Zamfara,438682,125423
